locus	Genus	Species
NC_018960	Staphylococcus	aureus
NC_018961	Staphylococcus	aureus
NC_018976	Staphylococcus	aureus
NC_019156	Klebsiella	pneumoniae
NC_019157	Klebsiella	pneumoniae
NC_019158	Klebsiella	pneumoniae
NC_019160	Klebsiella	pneumoniae
NC_012088	Onion	yellows
NC_019167	Onion	yellows
NC_019168	Onion	yellows
NC_019169	Onion	yellows
NC_019170	Onion	yellows
NC_019171	Onion	yellows
NC_019172	Onion	yellows
NC_019177	Haemophilus	influenzae
NC_019178	Haemophilus	influenzae
NC_012089	Onion	yellows
NC_019186	Haemophilus	influenzae
NC_012090	Onion	yellows
NC_019173	Onion	yellows
NC_019175	Haemophilus	influenzae
NC_019176	Haemophilus	influenzae
NC_019187	Buchnera	aphidicola
NC_019188	Buchnera	aphidicola
NC_019197	Shigella	flexneri
NC_019198	Zymomonas	mobilis
NC_019199	Acinetobacter	baumannii
NC_019201	Streptomyces	sp.
NC_019202	Pseudomonas	aeruginosa
NC_019203	Rahnella	sp.
NC_019204	Rahnella	sp.
NC_019205	Pasteurella	multocida
NC_019209	Pasteurella	multocida
NC_019210	Zymomonas	mobilis
NC_019213	Enterococcus	faecalis
NC_019214	[Haemophilus]	parasuis
NC_019217	uncultured	bacterium
NC_019219	Lactobacillus	plantarum
NC_019220	Burkholderia	pseudomallei
NC_019221	Rahnella	aquatilis
NC_019222	Rahnella	aquatilis
NC_019223	Rahnella	sp.
NC_019225	Borrelia	burgdorferi
NC_019228	Bacillus	thuringiensis
NC_019229	Rickettsia	felis
NC_019230	Bacillus	sp.
NC_019231	Streptococcus	thermophilus
NC_019232	Streptococcus	thermophilus
NC_019234	Yersinia	enterocolitica
NC_019235	Yersinia	pestis
NC_019238	Streptococcus	mutans
NC_019239	Streptococcus	mutans
NC_019240	Enterococcus	durans
NC_019241	Vibrio	cincinnatiensis
NC_019242	Enterobacter	cloacae
NC_019246	Periwinkle	leaf
NC_019247	Periwinkle	leaf
NC_019249	Shigella	flexneri
NC_019250	Shigella	flexneri
NC_011513	Proteus	mirabilis
NC_019252	Streptococcus	pyogenes
NC_019253	Enterococcus	faecium
NC_019254	Shigella	sp.
NC_019256	Shigella	sp.
NC_019257	Clostridium	perfringens
NC_019258	Clostridium	perfringens
NC_019259	Clostridium	perfringens
NC_019260	Mannheimia	haemolytica
NC_019261	Riemerella	anatipestifer
NC_017494	Lactococcus	lactis
NC_019263	Delftia	acidovorans
NC_019264	Delftia	acidovorans
NC_019267	Serratia	marcescens
NC_019268	Acinetobacter	lwoffii
NC_019269	Yersinia	frederiksenii
NC_019270	Bhargavaea	cecembensis
NC_019271	Veillonella	sp.
NC_019273	Paracoccus	aestuarii
NC_019274	Psychrobacter	sp.
NC_019279	Salmonella	sp.
NC_019280	Acinetobacter	baumannii
NC_019281	Acinetobacter	lwoffii
NC_019283	Delftia	acidovorans
NC_019295	Rahnella	inusitata
NC_019296	Rahnella	sp.
NC_019297	Rahnella	sp.
NC_019298	Rahnella	sp.
NC_016140	Staphylococcus	hyicus
NC_019299	uncultured	bacterium
NC_019300	Zymomonas	mobilis
NC_019301	Xylella	fastidiosa
NC_019302	Xylella	fastidiosa
NC_019303	Staphylococcus	epidermidis
NC_019304	Staphylococcus	epidermidis
NC_019307	Streptomyces	sp.
NC_019325	Vibrio	anguillarum
NC_019326	Arthrobacter	sp.
NC_019327	Acetobacter	pasteurianus
NC_019329	Sulfitobacter	sp.
NC_019330	Arthrobacter	sp.
NC_019331	Arthrobacter	sp.
NC_019332	Arthrobacter	sp.
NC_019334	Pseudomonas	syringae
NC_019335	Salmonella	sp.
NC_019336	Salmonella	sp.
NC_019337	Acetobacter	pasteurianus
NC_019339	Arthrobacter	sp.
NC_019342	Salmonella	sp.
NC_019343	Salmonella	sp.
NC_019345	Acinetobacter	baumannii
NC_019346	Enterobacter	cloacae
NC_019347	Lactococcus	lactis
NC_019348	Lactococcus	lactis
NC_019349	Lactococcus	lactis
NC_019350	Lactococcus	lactis
NC_019351	Lactococcus	lactis
NC_019354	Tetragenococcus	muriaticus
NC_019355	Tetragenococcus	muriaticus
NC_019356	Paracoccus	marcusii
NC_019357	Shigella	boydii
NC_019362	Sulfitobacter	guttiformis
NC_019363	Sulfitobacter	guttiformis
NC_019364	Sulfitobacter	guttiformis
